outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,0.09959072753445727,0.0298555733947321,3.335749952537494,0.0008506964143496782,0.04107380368078236,0.15810765138813218,1497,40,7,0.0015400538535640727,"0.100 (0.041, 0.158)"
high_peak_population,High peak population Q4,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,0.02703308025610157,0.0259226830093955,1.042834966052843,0.2970247339279808,-0.02377537844231361,0.07784153895451676,1497,40,7,0.3626464774702091,"0.027 (-0.024, 0.078)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,Intercept,0.40098134318976053,0.04636199806199973,8.648922823678342,5.1987804379280335e-18,0.310111826988241,0.49185085939128004,1497,40,7,4.962472236204032e-17,"0.401 (0.310, 0.492)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,0.03908938202468719,0.003556945137832262,10.989593741248916,4.288520554307701e-28,0.032117769554535956,0.04606099449483842,1497,40,7,1.0006547960051302e-26,"0.039 (0.032, 0.046)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,0.23414694738620803,0.05093745916085008,4.596753572784615,4.291246456703754e-06,0.13430952743094188,0.3339843673414742,1497,40,7,1.3060315303011426e-05,"0.234 (0.134, 0.334)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,-0.006338662801208944,0.004362464403124573,-1.4530004638362064,0.14622362522096052,-0.014889093031333105,0.0022117674289152183,1497,40,7,0.18723756888049822,"-0.006 (-0.015, 0.002)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-0.11122569184327186,0.019053025349753647,-5.8376919046459985,5.292891507305607e-09,-0.148569621528789,-0.07388176215775472,1497,40,7,2.4700160367426168e-08,"-0.111 (-0.149, -0.074)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,0.09896426450238638,0.027481771424936283,3.6010875344297726,0.0003168888537222441,0.045099992509511265,0.15282853649526149,1497,40,7,0.0005941666007292077,"0.099 (0.045, 0.153)"
high_peak_absolute40,Peak delta >=40 mg/dL,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,0.058553141174949364,0.02829175110711487,2.0696188423707818,0.038488052148248936,0.0031013090050042227,0.11400497334489451,1497,40,7,0.05612840938286304,"0.059 (0.003, 0.114)"
iauc_2h_per1000,2h iAUC / 1000,carb_fiber_ratio_z,Carb/fiber ratio z,Intercept,3.0485776773893685,0.26420705745394873,11.538592900459275,8.429279333294352e-31,2.5307318447796288,3.566423509999108,1497,40,7,2.5287837999883054e-29,"3.049 (2.531, 3.566)"
