left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
41,peak_delta_2h,load_x_msi,0.510325884983195,0.39148418445206523,0.19238123997568776,1450,39
42,iauc_2h_per1000,carbs_10g,0.18087636552678282,0.020244301838532968,4.083571044793237e-19,1476,39
42,iauc_2h_per1000,msi_centered,1.072964009815256,0.2745542965132104,9.305514480257019e-05,1476,39
42,iauc_2h_per1000,load_x_msi,0.044426324512755105,0.0273842874960025,0.10473291651420338,1476,39
42,peak_delta_2h,carbs_10g,2.5018886421206443,0.3008648040619566,9.124503565377452e-17,1476,39
42,peak_delta_2h,msi_centered,17.37761144823672,3.991952181263469,1.3418839005530782e-05,1476,39
42,peak_delta_2h,load_x_msi,0.5305945890473828,0.39650902577643193,0.18084258291000646,1476,39
44,iauc_2h_per1000,carbs_10g,0.17758530511599235,0.019832699555421718,3.423101493963242e-19,1456,39
44,iauc_2h_per1000,msi_centered,1.0782208594018305,0.27731822301271347,0.00010106220550867201,1456,39
44,iauc_2h_per1000,load_x_msi,0.04025625453414812,0.026934548502834648,0.1350200456724492,1456,39
44,peak_delta_2h,carbs_10g,2.450120843543009,0.2962533704589188,1.335595878182303e-16,1456,39
44,peak_delta_2h,msi_centered,17.544198413581917,4.034559728400225,1.3708491712265519e-05,1456,39
44,peak_delta_2h,load_x_msi,0.4731253937317792,0.3894565745582482,0.22442911116235942,1456,39
45,iauc_2h_per1000,carbs_10g,0.18247500586362272,0.02020316604703892,1.685616539732792e-19,1467,39
45,iauc_2h_per1000,msi_centered,1.0333878390736864,0.2820883782931713,0.0002489401618544244,1467,39
45,iauc_2h_per1000,load_x_msi,0.04139377566496682,0.028523864589421327,0.14672472955123972,1467,39
45,peak_delta_2h,carbs_10g,2.5074564010755847,0.30332531991462364,1.378818013775298e-16,1467,39
45,peak_delta_2h,msi_centered,17.014302895241826,4.132527408647015,3.835591849173069e-05,1467,39
45,peak_delta_2h,load_x_msi,0.4875223160710541,0.41240969392764815,0.2371536947101799,1467,39
46,iauc_2h_per1000,carbs_10g,0.18133481077902194,0.020013176930939087,1.295318331664985e-19,1469,39
46,iauc_2h_per1000,msi_centered,1.0399631332201085,0.2664021024305853,9.471960562426147e-05,1469,39
46,iauc_2h_per1000,load_x_msi,0.042697426397463885,0.027211103156737516,0.11662049226245583,1469,39
46,peak_delta_2h,carbs_10g,2.486885357161259,0.29721067095902665,5.889542311186909e-17,1469,39
46,peak_delta_2h,msi_centered,17.05926965020346,3.910029284735637,1.2831917108541045e-05,1469,39
46,peak_delta_2h,load_x_msi,0.48593787571863,0.3924627259161555,0.2156508580013814,1469,39
47,iauc_2h_per1000,carbs_10g,0.17984711726105623,0.020062810849634235,3.1253168705823468e-19,1469,39
47,iauc_2h_per1000,msi_centered,1.0567217291617332,0.26724540584765244,7.681525849196453e-05,1469,39
47,iauc_2h_per1000,load_x_msi,0.04117166564092895,0.027502356834678825,0.1343872270983306,1469,39
47,peak_delta_2h,carbs_10g,2.480270515677309,0.2979709130973674,8.513849313862262e-17,1469,39
47,peak_delta_2h,msi_centered,17.083777259361128,3.9071102380810516,1.2284078526192872e-05,1469,39
47,peak_delta_2h,load_x_msi,0.4791465583886213,0.3956423116032099,0.225872429058861,1469,39
48,iauc_2h_per1000,carbs_10g,0.1771509466767228,0.019977536181319613,7.48015160111712e-19,1463,39
48,iauc_2h_per1000,msi_centered,1.05467819534201,0.27703496115848353,0.00014065023060986113,1463,39
48,iauc_2h_per1000,load_x_msi,0.04841742596546516,0.027294827026032586,0.0760849521748188,1463,39
48,peak_delta_2h,carbs_10g,2.4493456773957205,0.29628035468809394,1.373875707827009e-16,1463,39
48,peak_delta_2h,msi_centered,17.45254281685422,4.036925798374392,1.5376403281741246e-05,1463,39
48,peak_delta_2h,load_x_msi,0.5866197038124715,0.3939740710549444,0.13649250739289934,1463,39
49,iauc_2h_per1000,carbs_10g,0.17602016704316076,0.01927799817491123,6.810512852089187e-20,1471,39
49,iauc_2h_per1000,msi_centered,1.031051970797254,0.2695467254487435,0.0001307017107545456,1471,39
49,iauc_2h_per1000,load_x_msi,0.028619682426846038,0.025155565518498353,0.2552425265636877,1471,39
49,peak_delta_2h,carbs_10g,2.4191740587170556,0.28731811298168547,3.7698181583886446e-17,1471,39
49,peak_delta_2h,msi_centered,16.982277609629193,3.9678398284671936,1.8690957985754396e-05,1471,39
49,peak_delta_2h,load_x_msi,0.30812561679552264,0.357197584746601,0.38834668254391086,1471,39
