figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
EDFigure8_HighResponse_Sensitivity,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.svg,True,14157,ok,,,
EDFigure8_HighResponse_Sensitivity,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.png,True,339095,ok,4869.0,2949.0,58.02458160359253
EDFigure8_HighResponse_Sensitivity,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure8_HighResponse_Sensitivity.tiff,True,1387682,ok,4869.0,2949.0,58.02458160359253
EDFigure9_Bootstrap_Influence,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.pdf,True,21130,ok,,,
EDFigure9_Bootstrap_Influence,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.svg,True,27922,ok,,,
EDFigure9_Bootstrap_Influence,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.png,True,430184,ok,6549.0,3069.0,10.808691751568656
EDFigure9_Bootstrap_Influence,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure9_Bootstrap_Influence.tiff,True,1244470,ok,6549.0,3069.0,10.808623989050517
EDFigure10_FoodMatrix_Annotation,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.pdf,True,38938,ok,,,
EDFigure10_FoodMatrix_Annotation,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.svg,True,362092,ok,,,
EDFigure10_FoodMatrix_Annotation,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.png,True,572001,ok,6309.0,3069.0,29.410110203036485
EDFigure10_FoodMatrix_Annotation,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.tiff,True,1521972,ok,6309.0,3069.0,29.410110203036485
