figure,group,format,path,bytes,width_px,height_px,mode
EDFigure10_FoodMatrix_Annotation,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.svg,362092,,,
EDFigure10_FoodMatrix_Annotation,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.png,572001,6309.0,3069.0,RGBA
EDFigure10_FoodMatrix_Annotation,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure10_FoodMatrix_Annotation.tiff,1521972,6309.0,3069.0,RGBA
EDFigure11_Counterfactual_Meal_Redesign,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.pdf,18936,,,
EDFigure11_Counterfactual_Meal_Redesign,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.svg,29459,,,
EDFigure11_Counterfactual_Meal_Redesign,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.png,401924,6549.0,3069.0,RGBA
EDFigure11_Counterfactual_Meal_Redesign,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure11_Counterfactual_Meal_Redesign.tiff,1742980,6549.0,3069.0,RGBA
EDFigure12_Prediction_Audit,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.pdf,16729,,,
EDFigure12_Prediction_Audit,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.svg,13658,,,
EDFigure12_Prediction_Audit,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.png,328403,6189.0,2949.0,RGBA
EDFigure12_Prediction_Audit,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure12_Prediction_Audit.tiff,1599240,6189.0,2949.0,RGBA
EDFigure13_Prediction_Conformal_NetBenefit,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.pdf,20818,,,
EDFigure13_Prediction_Conformal_NetBenefit,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.svg,29966,,,
EDFigure13_Prediction_Conformal_NetBenefit,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.png,511304,6429.0,3009.0,RGBA
EDFigure13_Prediction_Conformal_NetBenefit,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure13_Prediction_Conformal_NetBenefit.tiff,1640690,6429.0,3009.0,RGBA
EDFigure14_External_DomainShift,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.pdf,24809,,,
EDFigure14_External_DomainShift,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.svg,45407,,,
EDFigure14_External_DomainShift,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.png,520131,6429.0,3009.0,RGBA
EDFigure14_External_DomainShift,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure14_External_DomainShift.tiff,1734698,6429.0,3009.0,RGBA
EDFigure15_Mechanism_KG_Pathways,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure15_Mechanism_KG_Pathways.pdf,18224,,,
EDFigure15_Mechanism_KG_Pathways,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure15_Mechanism_KG_Pathways.svg,25357,,,
EDFigure15_Mechanism_KG_Pathways,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure15_Mechanism_KG_Pathways.png,371482,6369.0,3069.0,RGBA
EDFigure15_Mechanism_KG_Pathways,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure15_Mechanism_KG_Pathways.tiff,2479788,6369.0,3069.0,RGBA
EDFigure16_SourceData_Reproducibility,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure16_SourceData_Reproducibility.pdf,21412,,,
EDFigure16_SourceData_Reproducibility,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure16_SourceData_Reproducibility.svg,29602,,,
EDFigure16_SourceData_Reproducibility,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure16_SourceData_Reproducibility.png,1114742,9812.0,2939.0,RGBA
EDFigure16_SourceData_Reproducibility,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure16_SourceData_Reproducibility.tiff,3576380,9812.0,2939.0,RGBA
