outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
high_peak_fast_recovery_flag,meal_hour_cos,-0.01091501402842756,0.007003745284815911,-1.558453882109514,0.11912569224002227,-0.024642354786666744,0.0028123267298116247,1498,40,17,curve_shape_lpm_or_linear,0.2479759307853525
high_peak_fast_recovery_flag,meal_type_Dinner,0.005903814340463331,0.026510409415692944,0.2226979692350034,0.8237705819921817,-0.04605658811429484,0.0578642167952215,1498,40,17,curve_shape_lpm_or_linear,0.9233472457494784
high_peak_fast_recovery_flag,meal_type_Lunch,-0.012112304935010462,0.019067058694534268,-0.6352476870741766,0.5252668861668117,-0.049483739976297625,0.0252591301062767,1498,40,17,curve_shape_lpm_or_linear,0.7339345532741752
high_peak_fast_recovery_flag,meal_type_Snack,0.0036509908888053277,0.024938548503433994,0.1463994942729964,0.8836060265211549,-0.0452285641779253,0.052530545955535954,1498,40,17,curve_shape_lpm_or_linear,0.9291527289191526
high_peak_fast_recovery_flag,meal_type_Snacks,0.0036484240394124845,0.024191613380129255,0.15081358907666997,0.8801227663470206,-0.043767138185640854,0.05106398626446582,1498,40,17,curve_shape_lpm_or_linear,0.9291527289191526
high_peak_fast_recovery_flag,meal_type_breakfast,-0.010879346862855202,0.016082612016326495,-0.676466413031097,0.49874456361990976,-0.04240126641485513,0.020642572689144725,1498,40,17,curve_shape_lpm_or_linear,0.7267420784175828
high_peak_fast_recovery_flag,meal_type_dinner,0.010160554986737791,0.02466566384235713,0.4119311384309702,0.6803898967616933,-0.03818414614428218,0.05850525611775776,1498,40,17,curve_shape_lpm_or_linear,0.8567872774036137
high_peak_fast_recovery_flag,meal_type_lunch,-0.0126934379380515,0.01837271983310682,-0.6908850759906812,0.48963776552196125,-0.04870396881094086,0.023317092934837864,1498,40,17,curve_shape_lpm_or_linear,0.7238123490324645
high_peak_fast_recovery_flag,meal_type_snack,0.00695167268429972,0.025821204038327095,0.26922341320649373,0.7877577640696451,-0.04365788723082139,0.05756123259942083,1498,40,17,curve_shape_lpm_or_linear,0.9028235048888068
high_peak_fast_recovery_flag,meal_type_snack 1,0.00038193415233583883,0.028142391665711527,0.013571488765867204,0.9891718510452825,-0.05477715351245875,0.05554102181713043,1498,40,17,curve_shape_lpm_or_linear,0.9891718510452825
low_stable_response_flag,Intercept,0.153468937875802,0.06866591331902078,2.235009052639956,0.0254167544366745,0.018883747770521264,0.2880541279810827,1498,40,17,curve_shape_lpm_or_linear,0.08101590476689996
low_stable_response_flag,msi_centered,-0.11880133414009755,0.03326588642359635,-3.571266150173251,0.00035525966004001903,-0.18400247153034638,-0.053600196749848714,1498,40,17,curve_shape_lpm_or_linear,0.0024157656882721292
low_stable_response_flag,carbs_10g,-0.007173200328727008,0.005443472465364151,-1.3177618467566077,0.18758338365275723,-0.017842406360840744,0.003496005703386728,1498,40,17,curve_shape_lpm_or_linear,0.3679520217804084
low_stable_response_flag,digestibility_centered,-0.022366802859377644,0.01089349386429968,-2.0532258188236985,0.040050681476838546,-0.04371805083340501,-0.001015554885350274,1498,40,17,curve_shape_lpm_or_linear,0.11671912887535806
low_stable_response_flag,msi_x_digestibility,-0.0033973785806795023,0.009025866116400437,-0.37640471693971844,0.7066160398090375,-0.021088076168824355,0.014293319007465352,1498,40,17,curve_shape_lpm_or_linear,0.8580337626252599
low_stable_response_flag,baseline_glucose,0.13591456282133763,0.015526088698051398,8.753947337579978,2.0601725848684595e-18,0.10548342897315688,0.16634569666951837,1498,40,17,curve_shape_lpm_or_linear,1.0506880182829144e-16
low_stable_response_flag,meal_hour_sin,-0.05121622203269049,0.06701378365688584,-0.7642639952240315,0.4447099369370451,-0.18256323800018676,0.08013079393480577,1498,40,17,curve_shape_lpm_or_linear,0.6872789934481606
low_stable_response_flag,meal_hour_cos,-0.010387964769765536,0.03819340706324819,-0.2719831920876577,0.7856349431205405,-0.08524704261373198,0.06447111307420092,1498,40,17,curve_shape_lpm_or_linear,0.9028235048888068
low_stable_response_flag,meal_type_Dinner,0.034864375356670314,0.1424295619046727,0.24478328017328904,0.8066242406372,-0.24429756597648822,0.31402631668982883,1498,40,17,curve_shape_lpm_or_linear,0.9141741393888266
low_stable_response_flag,meal_type_Lunch,0.16560656593972883,0.06426930130144876,2.576760017398785,0.009973116475300917,0.03963873538888926,0.2915743964905684,1498,40,17,curve_shape_lpm_or_linear,0.037676217795581245
low_stable_response_flag,meal_type_Snack,0.2941889508120147,0.12434224279199514,2.3659614319820994,0.01798331771066602,0.0504781549397042,0.5378997466843252,1498,40,17,curve_shape_lpm_or_linear,0.06114328021626447
low_stable_response_flag,meal_type_Snacks,0.12027835960842735,0.12868291497448428,0.934687869265913,0.34994918030000455,-0.13194015374156182,0.37249687295841655,1498,40,17,curve_shape_lpm_or_linear,0.6262248489579029
low_stable_response_flag,meal_type_breakfast,0.04604551212645855,0.052363348312456225,0.8793462146786594,0.37921358520899917,-0.056586650565955646,0.14867767481887273,1498,40,17,curve_shape_lpm_or_linear,0.6555895879884392
low_stable_response_flag,meal_type_dinner,0.00879528860058646,0.12193068932217746,0.07213351002508211,0.9424956585327886,-0.23018886247088136,0.24777943967205426,1498,40,17,curve_shape_lpm_or_linear,0.9613455717034444
low_stable_response_flag,meal_type_lunch,0.19672199062824572,0.06691726732945386,2.939779200183476,0.003284462091105024,0.06556414666251617,0.3278798345939753,1498,40,17,curve_shape_lpm_or_linear,0.016801182773480472
low_stable_response_flag,meal_type_snack,0.13395701577268126,0.12532306723410305,1.0688935303701914,0.2851176475158376,-0.11167619600616072,0.3795902275515233,1498,40,17,curve_shape_lpm_or_linear,0.5385555564188044
low_stable_response_flag,meal_type_snack 1,0.9188197502930848,0.13542869756282885,6.784527702238447,1.1646688704886847e-11,0.6533795030699403,1.1842599975162293,1498,40,17,curve_shape_lpm_or_linear,1.484952809873073e-10
