cluster,minute,feature_derived_delta
delayed_peak (2),152.0,7.35942630111202
delayed_peak (2),153.0,7.1241827187112055
delayed_peak (2),154.0,6.896164074954526
delayed_peak (2),155.0,6.675161987319732
delayed_peak (2),156.0,6.460973438293651
delayed_peak (2),157.0,6.2534006700446945
delayed_peak (2),158.0,6.052251079295166
delayed_peak (2),159.0,5.857337112532541
delayed_peak (2),160.0,5.668476161687861
delayed_peak (2),161.0,5.485490460399183
delayed_peak (2),162.0,5.308206980968169
delayed_peak (2),163.0,5.136457332108891
delayed_peak (2),164.0,4.970077657579256
delayed_peak (2),165.0,4.808908535777365
delayed_peak (2),166.0,4.652794880377581
delayed_peak (2),167.0,4.50158584207385
delayed_peak (2),168.0,4.355134711491234
delayed_peak (2),169.0,4.213298823320192
delayed_peak (2),170.0,4.075939461722382
delayed_peak (2),171.0,3.9429217670511405
delayed_peak (2),172.0,3.814114643924671
delayed_peak (2),173.0,3.6893906706851016
delayed_peak (2),174.0,3.5686260102720917
delayed_peak (2),175.0,3.4517003225353897
delayed_peak (2),176.0,3.338496678006848
delayed_peak (2),177.0,3.2289014731486727
delayed_peak (2),178.0,3.122804347091306
delayed_peak (2),179.0,3.02009809987112
delayed_peak (2),180.0,2.920678612175159
high_peak_fast_recovery (3),0.0,0.0
high_peak_fast_recovery (3),1.0,3.2006795069963796
high_peak_fast_recovery (3),2.0,6.2783393722150915
high_peak_fast_recovery (3),3.0,9.23652583456338
high_peak_fast_recovery (3),4.0,12.078694265360514
high_peak_fast_recovery (3),5.0,14.808211351174688
high_peak_fast_recovery (3),6.0,17.428357226320873
high_peak_fast_recovery (3),7.0,19.942327556148342
high_peak_fast_recovery (3),8.0,22.353235572221568
high_peak_fast_recovery (3),9.0,24.66411406047424
high_peak_fast_recovery (3),10.0,26.87791730339217
high_peak_fast_recovery (3),11.0,28.99752297725777
high_peak_fast_recovery (3),12.0,31.025734005466074
high_peak_fast_recovery (3),13.0,32.96528036889994
high_peak_fast_recovery (3),14.0,34.8188208743305
high_peak_fast_recovery (3),15.0,36.58894488178754
high_peak_fast_recovery (3),16.0,38.27817399182366
high_peak_fast_recovery (3),17.0,39.88896369357583
high_peak_fast_recovery (3),18.0,41.423704974508006
high_peak_fast_recovery (3),19.0,42.8847258926987
high_peak_fast_recovery (3),20.0,44.27429311251904
high_peak_fast_recovery (3),21.0,45.59461340452728
high_peak_fast_recovery (3),22.0,46.84783511038822
high_peak_fast_recovery (3),23.0,48.03604957360787
high_peak_fast_recovery (3),24.0,49.16129253685615
high_peak_fast_recovery (3),25.0,50.22554550663345
high_peak_fast_recovery (3),26.0,51.23073708602023
high_peak_fast_recovery (3),27.0,52.17874427623223
high_peak_fast_recovery (3),28.0,53.071393747688255
high_peak_fast_recovery (3),29.0,53.91046308128153
high_peak_fast_recovery (3),30.0,54.69768198053034
