source_table,outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability,left_out_subject,estimate,se,p_value,n,n_clusters
cg_influence,peak_delta_2h,load_x_msi,,,,,,34.0,0.377860648305758,0.3947934025794703,0.3385118201478603,1449.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,35.0,0.1783742790122643,0.0196284639363737,1.0131330855135152e-19,1471.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,35.0,1.0468929320556852,0.2813829673781701,0.000198807472093,1471.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,35.0,0.0317368693206453,0.0261525046071078,0.2249269535839358,1471.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,35.0,2.4775846383562925,0.2971089220299212,7.493562026837607e-17,1471.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,35.0,16.75664292508943,4.086983378729707,4.131453017930654e-05,1471.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,35.0,0.4129862661199758,0.3979173803007672,0.2993308691502456,1471.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,36.0,0.1815908869639803,0.0202561823264268,3.110863290974709e-19,1468.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,36.0,1.0782118588537084,0.2675600190284996,5.5825665896769374e-05,1468.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,36.0,0.0431054408444799,0.0272009236042847,0.1130333652668864,1468.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,36.0,2.4906096677847858,0.3006259627209033,1.183616665349688e-16,1468.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,36.0,17.310751132215472,3.9076686516523247,9.425780351685392e-06,1468.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,36.0,0.5143469265713916,0.3901981348783874,0.1874472165530711,1468.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,39.0,0.18297333639405,0.0198440793836442,2.955787297806121e-20,1465.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,39.0,0.9696645291074396,0.2515504748184712,0.000115847316296,1465.0,39.0
