chemical_label,GeneSymbol,GeneID,mechanism_panel,n_interactions,n_pubmed_total,organisms,interaction_directions,example_interactions,pubmed_ids
Diethylhexyl Phthalate,MSMO1,6307,Other CTD gene,5,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of MSMO1 protein | Diethylhexyl Phthalate results in decreased expression of MSMO1 mRNA | Diethylhexyl Phthalate results in increased expression of MSMO1 mRNA,31163220|34319233|19850644|33754040|35716406|37560165
Diethylhexyl Phthalate,POU5F1,5460,Other CTD gene,5,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation; other / unspecified,"Diethylhexyl Phthalate inhibits the reaction [[4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide co-treated with LDN 193189] results in decreased expression of POU5F1 mRNA] | Diethylhexyl Phthalate results in increased expression of POU5F1 protein | Diethylhexyl Phthalate affects the expression of POU5F1 protein",32949729|31163220|40279284|28042535|34319233|28123099|28286118
Diethylhexyl Phthalate,S100A8,6279,Other CTD gene,5,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation,[Diethylhexyl Phthalate co-treated with Asian ginseng] results in increased expression of S100A8 mRNA | Diethylhexyl Phthalate results in increased expression of S100A8 mRNA | Diethylhexyl Phthalate results in decreased expression of S100A8 mRNA,35818422|28412506|38008054|19850644|33754040
Diethylhexyl Phthalate,SLC2A1,6513,Other CTD gene,5,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of SLC2A1 protein | Diethylhexyl Phthalate results in increased expression of SLC2A1 mRNA | [bisphenol A co-treated with Diethylhexyl Phthalate co-treated with diethyl phthalate co-treated with diisononyl phthalate co-treated with di-n-octyl phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with diisodecyl phthalate] results in decreased expression of SLC2A1 mRNA,31163220|37364641|29753845|34319233|36674557|19000923
Diethylhexyl Phthalate,TG,7038,Other CTD gene,5,7,Homo sapiens; Rattus norvegicus,increase / activation; other / unspecified,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased expression of TG mRNA | Diethylhexyl Phthalate affects the expression of TG mRNA | Diethylhexyl Phthalate affects the expression of TG protein,34708313|28054989|23238275|30078309|33649816
Diethylhexyl Phthalate,TSPO,706,Other CTD gene,5,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in increased expression of TSPO mRNA | [dicyclohexyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with diisobutyl phthalate] affects the expression of TSPO mRNA | Diethylhexyl Phthalate results in decreased expression of TSPO mRNA,19245819|33162236|40570975|16690193|25031359|36674726
Diethylhexyl Phthalate,VNN1,8876,Other CTD gene,5,7,Homo sapiens; Mus musculus,decrease / inhibition; increase / activation,[Diethylhexyl Phthalate co-treated with Asian ginseng] results in decreased expression of VNN1 mRNA | Diethylhexyl Phthalate results in decreased expression of VNN1 mRNA | Diethylhexyl Phthalate results in increased expression of VNN1 mRNA,35818422|19245819|19850644|33754040|28433925
Diethylhexyl Phthalate,BAD,572,Other CTD gene,4,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of BAD mRNA | Diethylhexyl Phthalate results in increased expression of BAD mRNA | [diethyl phthalate co-treated with Dibutyl Phthalate co-treated with diisobutyl phthalate co-treated with Diethylhexyl Phthalate co-treated with butylbenzyl phthalate co-treated with diisononyl phthalate] results in decreased expression of BAD mRNA,31211961|25701202|33754040|34319233|39947446|22610992|35810816
Diethylhexyl Phthalate,CDK4,1019,Other CTD gene,4,7,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of CDK4 mRNA | Diethylhexyl Phthalate results in increased expression of CDK4 mRNA | Estradiol inhibits the reaction [Diethylhexyl Phthalate results in decreased expression of CDK4 mRNA],19874833|31211961|36209858|25701202|33754040|35762964
Diethylhexyl Phthalate,GADD45G,10912,Other CTD gene,4,7,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in increased expression of GADD45G mRNA | Diethylhexyl Phthalate results in decreased expression of GADD45G mRNA | [bisphenol A co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate] affects the methylation of GADD45G promoter,31163220|26219507|27060630|34319233|26845775|33754040|23359474
Diethylhexyl Phthalate,GSTM1,2944,Other CTD gene,4,7,Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of GSTM1 mRNA | Diethylhexyl Phthalate results in increased expression of GSTM1 mRNA | PPARA protein inhibits the reaction [Diethylhexyl Phthalate results in increased expression of GSTM1 mRNA],34319233|19245819|19850644|33162236|33754040|28433925
