outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI
high_peak_top_quartile,High peak top quartile,base_interaction,meal_hour_sin,0.1087759784922919,0.02979831802909602,3.6504066567139657,0.00026182544879821076,0.0503712751552637,0.1671806818293201,1498,40,risk difference,0.0005891072597959742,"0.109 (0.050, 0.167)"
high_peak_top_quartile,High peak top quartile,base_interaction,meal_hour_cos,0.02915188455904827,0.025629445774002838,1.1374371812838187,0.2553555713986214,-0.021081829157997292,0.07938559827609383,1498,40,risk difference,0.3014032973885368,"0.029 (-0.021, 0.079)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,Intercept,0.2238606814103828,0.037042202445483,6.043395549707137,1.5090408266289809e-09,0.15125796461723612,0.29646339820352946,1480,39,risk difference,1.2072326613031847e-08,"0.224 (0.151, 0.296)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,carbs_10g,0.024722180910524274,0.0045640346804025535,5.416738180513507,6.06961187534284e-08,0.01577667293693527,0.03366768888411328,1480,39,risk difference,4.370120550246845e-07,"0.025 (0.016, 0.034)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,protein_10g,-0.016008103033387577,0.00496407121732603,-3.2247931853827385,0.0012606370185220313,-0.025737682619346596,-0.006278523447428557,1480,39,risk difference,0.0025212740370440627,"-0.016 (-0.026, -0.006)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,fat_10g,-0.0019440933286000448,0.009873202959376734,-0.19690604321606792,0.8439010644621996,-0.021295571128978442,0.017407384471778354,1480,39,risk difference,0.8557869949475827,"-0.002 (-0.021, 0.017)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,fiber_5g,-0.018586474084876157,0.011461807322697744,-1.6216006395491818,0.10488888563731683,-0.041051616437363735,0.003878668267611421,1480,39,risk difference,0.13985184751642243,"-0.019 (-0.041, 0.004)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,msi_core_centered,0.1428985711219078,0.0367103587686218,3.8925953304507184,9.917750789594166e-05,0.07094626793540908,0.2148508743084065,1480,39,risk difference,0.0002462338127071655,"0.143 (0.071, 0.215)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,carbs_x_msi,0.007246908690391762,0.004375811817734969,1.6561289635492014,0.09769570502758292,-0.0013296824723687773,0.0158234998531523,1480,39,risk difference,0.1352709761920379,"0.007 (-0.001, 0.016)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,baseline_glucose_z,-0.040222565911740504,0.01840716728343001,-2.185157840552063,0.028877275508562714,-0.07630061378726333,-0.0041445180362176814,1480,39,risk difference,0.04613217077991282,"-0.040 (-0.076, -0.004)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,meal_hour_sin,0.10642571116873459,0.029434118173460328,3.615726163139984,0.00029950685533686574,0.048734839548752344,0.16411658278871682,1480,39,risk difference,0.0006534695025531616,"0.106 (0.049, 0.164)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,meal_hour_cos,-0.001614855025860673,0.02786344475585407,-0.05795604384204484,0.9537836415713096,-0.056227206747334654,0.05299749669561331,1480,39,risk difference,0.9537836415713097,"-0.002 (-0.056, 0.053)"
high_peak_top_quartile,High peak top quartile,macro_context_interaction,activity_calories_pre30_z,-0.038592220053783634,0.017094391483670836,-2.2575954277546693,0.023970893976004496,-0.07209722736177848,-0.0050872127457887925,1480,39,risk difference,0.04012719257420947,"-0.039 (-0.072, -0.005)"
