model,outcome,exposure,component,n,beta,se,statistic,p,error,q
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMEP,MEP,2671,0.006996749319460814,0.01990096532020919,0.3515783886300078,0.7324498286769736,NA,0.8370855184879697
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMBP,MnBP,2671,0.038799664440183734,0.022737770713400017,1.7063970311442178,0.11874283064291938,NA,0.2548626608921197
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMIB,MiBP,2671,0.06931308374107067,0.02729193029079774,2.5396915132984046,0.029378687926084304,NA,0.14338103093566365
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMZP,MBzP,2671,0.03143943104037098,0.02355222221433129,1.3348817259901873,0.2115086741828709,NA,0.3514542105168512
survey_weighted_standardized_single_monomer,HbA1c,ln_URXCOP,MCOP,2671,0.023191124003229927,0.015091295904563602,1.5367218395218756,0.15537616715932911,NA,0.2972413632613253
survey_weighted_standardized_single_monomer,HbA1c,ln_URXCNP,MCNP,2671,0.04477579624640535,0.018974397819102828,2.359800646812964,0.0399668447887844,NA,0.15771639288823294
survey_weighted_standardized_single_monomer,HbA1c,ln_URXMNP,MiNP_or_MNP,2671,-0.029916260819766366,0.014043576337019774,-2.130245181272321,0.05899689511071903,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,TyG,ln_URXMHP,MEHP,1279,-0.09268704894215,0.029026093821516333,-3.193231907541185,0.00855715427822621,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,TyG,ln_URXMHH,MEHHP,1279,0.02359602677014088,0.04066702809074912,0.5802250097421915,0.5734563488336544,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,TyG,ln_URXMOH,MEOHP,1279,-0.023613677349153282,0.039486556789853765,-0.5980181426003929,0.5619380806807014,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,TyG,ln_URXECP,MECPP,1279,-0.01338595490364292,0.04737072382224256,-0.2825786440138296,0.7827462478845029,NA,0.8442587315524859
survey_weighted_standardized_single_monomer,TyG,ln_URXMEP,MEP,1279,-0.021061510163299837,0.036910471261540886,-0.5706107086539699,0.5797329167344061,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,TyG,ln_URXMBP,MnBP,1279,-0.10480860833211725,0.051163556933643946,-2.0485012108921143,0.06514363813023015,NA,0.17371636834728038
survey_weighted_standardized_single_monomer,TyG,ln_URXMIB,MiBP,1279,-0.00836453922199783,0.050543838586988576,-0.16549077901161036,0.8715599876068847,NA,0.9023209283459513
survey_weighted_standardized_single_monomer,TyG,ln_URXMZP,MBzP,1279,0.015793112213275565,0.04325414018358646,0.36512371177056796,0.7219423096942903,NA,0.8370855184879697
survey_weighted_standardized_single_monomer,TyG,ln_URXCOP,MCOP,1279,-0.033112565576436326,0.03299682971809899,-1.0035074841833624,0.33718043364913364,NA,0.5115841062262717
survey_weighted_standardized_single_monomer,TyG,ln_URXCNP,MCNP,1279,-0.03486422192878757,0.035436971025604544,-0.9838375267343492,0.34634046726659284,NA,0.5165756121942402
survey_weighted_standardized_single_monomer,TyG,ln_URXMNP,MiNP_or_MNP,1279,-0.07016137884635115,0.03179453844059133,-2.2067116645661944,0.049502248239191644,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMHP,MEHP,1279,-0.08754041847641478,0.031087070470228535,-2.815975167562041,0.01678810934220704,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMHH,MEHHP,1279,0.016479741554902283,0.04479240284803862,0.3679137645464336,0.7199189846100332,NA,0.8370855184879697
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMOH,MEOHP,1279,-0.027773162041645923,0.04668930141974394,-0.5948506659365271,0.5639791669358671,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXECP,MECPP,1279,-0.030491721899125558,0.05194547081677093,-0.5869948124386065,0.5690589233002732,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMEP,MEP,1279,-0.03492375270592487,0.03916466644395541,-0.8917158213488354,0.39163380603660214,NA,0.5743962488536831
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMBP,MnBP,1279,-0.14097742214413891,0.04842908982662371,-2.9110070548267277,0.014163488981905725,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMIB,MiBP,1279,-0.014328667356077665,0.050428881379092544,-0.28413613318851505,0.7815833081570506,NA,0.8442587315524859
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMZP,MBzP,1279,0.028572710190097217,0.04011744604205909,0.7122265500187029,0.4911552084987231,NA,0.6753384116857443
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXCOP,MCOP,1279,-0.04478251463619236,0.03446489647002888,-1.2993659991155295,0.22039112221771762,NA,0.35915590287331756
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXCNP,MCNP,1279,-0.04337641052315061,0.04011508613905913,-1.0812991993283045,0.30269983297015696,NA,0.4673260579188388
survey_weighted_standardized_single_monomer,ln_TG_HDL,ln_URXMNP,MiNP_or_MNP,1279,-0.057150939606563006,0.03416917104312088,-1.6725878287898628,0.12257803845092946,NA,0.25683017580194745
