gene_symbol,logFC_MEHP_vs_DMSO,AveExpr,t,pvalue,padj,B
ZNF836,-0.136745515346347,1.3950935503303894,-0.6183376076891468,0.5678837206451499,0.7502594549730119,-6.988112850300946
ZMAT2,0.07560009532748287,5.685411731078412,0.6180324296156409,0.568066998332722,0.7504326756670834,-6.988325372327232
AQP7P1,0.4180445389448727,-1.0008381115879845,0.6177199035742279,0.5682547295144835,0.7504621937742426,-6.988542920638911
CHSY1,-0.07391366239985085,5.866361331322308,-0.6176152143147484,0.5683176244613776,0.7504621937742426,-6.988615773940139
COX5A,-0.0765771888901189,6.646352166892987,-0.6175938677550497,0.5683304495588701,0.7504621937742426,-6.988630627755251
PANK4,-0.056859626090824456,5.033541995755131,-0.6175895596782475,0.5683330378916887,0.7504621937742426,-6.988633625440491
GTF2H4,0.058967295559084185,4.926073072934185,0.6175610385293989,0.568350173861419,0.7504621937742426,-6.9886534708457635
METTL12,-0.13820902138533198,1.907805351735128,-0.6171361857730354,0.5686054727951042,0.7507119588995627,-6.988948998614322
ANAPC7,0.06334128289788353,5.963152051366054,0.6170725873040196,0.568643696380407,0.7507119588995627,-6.98899322312617
C12orf65,-0.06905558222672531,4.660828999192543,-0.616178870070944,0.5691810129501056,0.7513523630299338,-6.989614285312973
RSPH9,0.07727839795829032,0.1197815381813447,0.6154366946623678,0.5696274752798209,0.7518302896756212,-6.9901294664366365
DDAH2,-0.06659167523311535,7.272556450014188,-0.6154032744130912,0.5696475849759677,0.7518302896756212,-6.990152652896837
ZNF519,0.10520698678169824,2.6012543805583315,0.615289297583431,0.569716170858346,0.7518518332233892,-6.990231720371416
SEPT7P2,-0.06735095316488199,2.375053963336245,-0.6151461286162366,0.5698023309213858,0.7518965632576642,-6.990331021533487
FAM120AOS,0.062125106910764456,4.941010159616225,0.6145349598136278,0.5701702332490906,0.7522555009329573,-6.990754707384072
ABRACL,-0.06363736216574645,6.377738749830373,-0.6145205277976313,0.5701789227146509,0.7522555009329573,-6.990764707959757
KIF1BP,0.056508295755081386,5.814223501395332,0.6144244429697804,0.5702367772762273,0.7522628407057136,-6.9908312843367275
ZNF77,-0.16498490817258527,1.8286521384740786,-0.6143346358627222,0.5702908554015149,0.7522651976715747,-6.990893503061742
PARVB,-0.07643888709055152,6.463264026236501,-0.6141032563211419,0.5704301981820472,0.7523800156823078,-6.991053768694329
SEC31B,0.061231412164788376,2.827023638024255,0.6139421023550368,0.5705272625633637,0.7524349462585512,-6.991165362567801
NOXA1,-0.2623661011781891,-1.376831622193721,-0.6138604421889544,0.5705764513231291,0.7524349462585512,-6.991221900220745
INCENP,0.07613173140738713,5.790941656594734,0.6135593557028513,0.570757837733772,0.7525080403569274,-6.991430303957312
MRGBP,0.07181045340455297,5.205483353050445,0.6135470108166328,0.5707652755930099,0.7525080403569274,-6.9914388469204685
SLC23A3,0.11441026634841911,-0.14962616434537765,0.6135079603257192,0.5707888041411645,0.7525080403569274,-6.991465869868123
TECR,-0.06624578372977685,5.908449121509473,-0.6132596635436698,0.5709384219010336,0.7526363179206698,-6.991637657622817
ABI1,0.05924944272937574,5.7216612448370325,0.6131234902142585,0.5710204877003001,0.7526755301499466,-6.991731846420195
RAB10,0.05993608127589264,6.869466954624375,0.6130040232712204,0.5710924916824018,0.7527014736915284,-6.9918144652756835
NPEPPS,0.06234501891884046,6.748237051586472,0.6127980219500859,0.5712166648971351,0.7527961653728641,-6.991956896408324
NUDT15,-0.07480520289656196,4.9086610906412576,-0.6125335599410786,0.5713761030468969,0.7528302401579531,-6.992139689029978
C1orf74,0.09060370678989656,1.8278827927138461,0.6125117874594127,0.5713892304884655,0.7528302401579531,-6.992154734936626
NCAPH2,0.06928612590323036,5.386257382456939,0.6124947338584779,0.5713995128795141,0.7528302401579531,-6.992166519540847
MRS2,0.06406185185146639,5.160919979258544,0.6122955117675802,0.5715196419603248,0.7528510399838638,-6.992304168267286
IER3,0.10453191835782598,5.493942200347762,0.6122804883708095,0.5715287016042042,0.7528510399838638,-6.992314546878134
