gene_id,gene_name,log2FoldChange,pvalue,padj,gene_biotype,gene_description,tf_family
ENSG00000034152,MAP2K3,-1.03605622849389,2.95135004536351e-27,3.32082918395395e-25,protein_coding,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843],-
ENSG00000279806,AC018629.1,-4.29090834011736,3.52407616584472e-27,3.94031610543318e-25,TEC,TEC,-
ENSG00000067057,PFKP,1.65902348244251,3.75636291338717e-27,4.17378874213732e-25,protein_coding,"phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]",-
ENSG00000125257,ABCC4,-1.85496123266896,4.15683826470912e-27,4.59007892360241e-25,protein_coding,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55],-
ENSG00000162344,FGF19,-7.1522529478773,5.89648484093506e-27,6.47084614210762e-25,protein_coding,fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675],-
ENSG00000189060,H1F0,0.942262582792366,7.65114551841885e-27,8.3449119648129e-25,protein_coding,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714],-
ENSG00000172478,MAB21L4,-6.27392284451774,9.3349277487348e-27,1.01192893607931e-24,protein_coding,mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216],-
ENSG00000127528,KLF2,2.04507966950785,1.12332912124033e-26,1.21033606772185e-24,protein_coding,Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347],zf-C2H2
ENSG00000157224,CLDN12,1.16741933442976,1.33705188524378e-26,1.43193424191951e-24,protein_coding,claudin 12 [Source:HGNC Symbol;Acc:HGNC:2034],-
ENSG00000041353,RAB27B,1.21827885491097,1.35704504568942e-26,1.44464352229141e-24,protein_coding,"RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]",-
ENSG00000171130,ATP6V0E2,-1.36454918013424,1.54292755929788e-26,1.63274798507129e-24,protein_coding,ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723],-
ENSG00000182871,COL18A1,-1.26833236731465,1.65545289181914e-26,1.7414580775598e-24,protein_coding,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195],-
ENSG00000138207,RBP4,2.92203441465054,1.78816445153796e-26,1.86999927173188e-24,protein_coding,retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922],-
ENSG00000109099,PMP22,-4.69633733990142,1.82027944159353e-26,1.89245192471636e-24,protein_coding,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118],-
ENSG00000175920,DOK7,-2.89932605249728,1.89690784897513e-26,1.9606527755279e-24,protein_coding,docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594],-
ENSG00000176046,NUPR1,4.14660436273796,1.99945168255623e-26,2.0546966481205e-24,protein_coding,"nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]",-
ENSG00000197635,DPP4,-1.64618769628537,2.25454823487068e-26,2.30352635169718e-24,protein_coding,dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009],-
ENSG00000159713,TPPP3,-2.97202835471176,2.28805672591995e-26,2.32440414133742e-24,protein_coding,tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162],-
ENSG00000174444,RPL4,-0.848545230469189,2.4123839666514e-26,2.43678194085958e-24,protein_coding,ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353],-
ENSG00000148303,RPL7A,-0.813036613235208,3.10434974093304e-26,3.11802992623207e-24,protein_coding,ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364],-
ENSG00000153246,PLA2R1,1.24431773126112,3.44880289713843e-26,3.44454033175994e-24,protein_coding,phospholipase A2 receptor 1 [Source:HGNC Symbol;Acc:HGNC:9042],-
ENSG00000163399,ATP1A1,-1.08697545133921,3.70984006417265e-26,3.68455512071851e-24,protein_coding,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799],-
ENSG00000174749,FAM241A,1.51037837220512,4.07574303863351e-26,4.02547554115703e-24,protein_coding,family with sequence similarity 241 member A [Source:HGNC Symbol;Acc:HGNC:26813],-
ENSG00000099834,CDHR5,1.45777105347303,4.12216898036506e-26,4.04883536646022e-24,protein_coding,cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521],-
ENSG00000196557,CACNA1H,3.99913583128998,4.69133228345841e-26,4.5825552382046e-24,protein_coding,calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395],-
ENSG00000146433,TMEM181,1.25519356867763,4.77480231884779e-26,4.63860303958885e-24,protein_coding,transmembrane protein 181 [Source:HGNC Symbol;Acc:HGNC:20958],-
ENSG00000145860,RNF145,0.958597781132951,5.30893271175755e-26,5.129467703784e-24,protein_coding,ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853],-
ENSG00000188042,ARL4C,-1.67938977629547,6.44670881857712e-26,6.19511293927914e-24,protein_coding,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698],-
ENSG00000008441,NFIX,-1.08737732586408,9.55646866637598e-26,9.13413440595872e-24,protein_coding,nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788],CTF/NFI
ENSG00000117983,MUC5B,1.27450466931675,1.06022394209529e-25,1.00794979906792e-23,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",-
ENSG00000165929,TC2N,1.19135697077456,1.13388158502408e-25,1.07224185205096e-23,protein_coding,"tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]",-
ENSG00000168028,RPSA,-0.977123621301072,1.25115715533131e-25,1.17688211150688e-23,protein_coding,ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502],-
ENSG00000100342,APOL1,3.32458965623269,1.44344273838356e-25,1.35060657910437e-23,protein_coding,apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618],-
ENSG00000138640,FAM13A,1.83572579586058,1.69076880641781e-25,1.57374281887412e-23,protein_coding,family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367],-
ENSG00000123384,LRP1,1.14974509030577,1.92836875197632e-25,1.78554894128307e-23,protein_coding,LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692],-
ENSG00000126709,IFI6,-0.881074755461863,2.21884807946853e-25,2.0371430436081e-23,protein_coding,interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054],-
ENSG00000197958,RPL12,-0.956254583403994,2.22300455878036e-25,2.0371430436081e-23,protein_coding,ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302],-
ENSG00000118523,CTGF,-3.3667280227791,3.52418664959831e-25,3.2129738593107e-23,protein_coding,connective tissue growth factor [Source:HGNC Symbol;Acc:HGNC:2500],-
ENSG00000074410,CA12,3.03043191733238,3.89934588255187e-25,3.53686587244934e-23,protein_coding,carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371],-
ENSG00000185522,LMNTD2,2.51644636226899,4.00646538476576e-25,3.61558079240435e-23,protein_coding,lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561],-
ENSG00000136826,KLF4,1.1175461666071,4.65765399885286e-25,4.1820087268488e-23,protein_coding,Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348],zf-C2H2
ENSG00000248144,ADH1C,-4.29808478664468,6.24231818282772e-25,5.57668003287996e-23,protein_coding,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",-
ENSG00000134851,TMEM165,1.08060493249941,6.40939132512178e-25,5.69730794890075e-23,protein_coding,transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760],-
ENSG00000148773,MKI67,-4.74590349729926,6.5049648797874e-25,5.75349580262987e-23,protein_coding,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107],-
ENSG00000219607,PPP1R3G,4.55584124204886,6.79601647087451e-25,5.98116736728748e-23,protein_coding,protein phosphatase 1 regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945],-
ENSG00000105388,CEACAM5,7.00919368576022,1.09919246472477e-24,9.6263269152103406e-23,protein_coding,carcinoembryonic antigen related cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817],-
ENSG00000069974,RAB27A,1.31766452653893,1.75941114885616e-24,1.53327506884141e-22,protein_coding,"RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]",-
ENSG00000167617,CDC42EP5,3.52337115259013,1.8240574638319e-24,1.58185822400017e-22,protein_coding,CDC42 effector protein 5 [Source:HGNC Symbol;Acc:HGNC:17408],-
