ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Diethylhexyl Phthalate,D004051,117-81-7,LIN37,55957,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LIN37 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIN7A,8825,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LIN7A mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LINC01091,285419,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of LINC01091 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LINC01235,401492,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of LINC01235 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LINC01588,283551,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LINC01588 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LINC02656,399716,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LINC02656 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIX1,167410,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LIX1 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LIX1L,128077,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LIX1L mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LMCD1,29995,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LMCD1 protein,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LMCD1,29995,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LMCD1 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LMF1,64788,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in decreased methylation of LMF1 gene,decreases^methylation|increases^abundance,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LMF1,64788,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of LMF1 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,LMNA,4000,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of LMNA mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,LMO3,55885,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of LMO3 mRNA,decreases^expression,31163220
