GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
EPO,2056,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
ERBB3,2065,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FABP1,2168,1,1,1,decreases^expression|decreases^reaction,hsa03320,PPAR signaling pathway
FABP3,2170,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
FAS,355,1,1,1,increases^expression,hsa04668,TNF signaling pathway
FBP2,8789,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
FBP2,8789,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
FGF1,2246,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
FGF18,8817,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FGF19,9965,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FGF4,2249,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FGF7,2252,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FGF8,2253,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FLT1,2321,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
FLT4,2324,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
FOS,2353,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
FOXG1,2290,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
FOXO1,2308,1,1,1,decreases^phosphorylation,hsa04910,Insulin signaling pathway
FOXO1,2308,1,1,1,decreases^phosphorylation,hsa04931,Insulin resistance
FOXO1,2308,1,1,1,decreases^phosphorylation,hsa04152,AMPK signaling pathway
FOXO1,2308,1,1,1,decreases^phosphorylation,hsa04068,FoxO signaling pathway
FOXO1,2308,1,1,1,decreases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
GADD45G,10912,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
GDNF,2668,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
GHR,2690,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
GNG11,2791,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
GNG2,54331,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
GNG7,2788,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
GYS1,2997,1,1,1,increases^phosphorylation,hsa04910,Insulin signaling pathway
GYS1,2997,1,1,1,increases^phosphorylation,hsa04931,Insulin resistance
GYS1,2997,1,1,1,increases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
GYS1,2997,1,1,1,increases^phosphorylation,hsa04152,AMPK signaling pathway
HK2,3099,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
HMGCR,3156,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
HMGCS2,3158,1,1,1,decreases^expression,hsa03320,PPAR signaling pathway
IGF1,3479,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
IGF1,3479,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
IGF1,3479,1,1,1,increases^expression,hsa04068,FoxO signaling pathway
IKBKG,8517,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
IKBKG,8517,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
IL2RB,3560,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
IL3RA,3563,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
IL4R,3566,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
INSR,3643,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
INSR,3643,1,1,1,decreases^expression,hsa04931,Insulin resistance
INSR,3643,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
INSR,3643,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
INSR,3643,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
IRS4,8471,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
IRS4,8471,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
IRS4,8471,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
ITGA10,8515,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
ITGA11,22801,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
ITGA3,3675,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
ITGA6,3655,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
ITGA7,3679,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
ITGB3,3690,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
JAG1,182,1,1,1,increases^expression,hsa04668,TNF signaling pathway
LAMA4,3910,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
LEP,3952,1,1,1,decreases^secretion,hsa04152,AMPK signaling pathway
