exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_7,-0.06472311863783592,0.10751276351593068,-0.6020040460428271,0.5471714441561017,-0.2754481351290601,0.1460018978533882,5229,90,0.08372204254808424,0.6147093420749511
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_2,0.08964728454847602,0.07274358605867329,1.2323737308766798,0.2178095090812189,-0.05293014412652362,0.23222471322347565,5229,90,0.08372204254808424,0.3008405179324824
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_3,0.1872708666988219,0.05813014270208,3.2215793389428753,0.0012748616008020786,0.0733357870027451,0.3012059463948987,5229,90,0.08372204254808424,0.003492860610360797
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_4,0.26093046508008305,0.05915233667849605,4.411160737373549,1.0281795459844389e-05,0.1449918851902308,0.37686904496993534,5229,90,0.08372204254808424,5.112337186978182e-05
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_5,0.04722165182885887,0.06496194722314778,0.7269125056650465,0.4672795557953787,-0.08010376472851077,0.17454706838622852,5229,90,0.08372204254808424,0.557155923313897
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_7,-0.2175520573807596,0.084549384744762,-2.5730767649877833,0.010079884759439184,-0.3832688514804931,-0.05183526328102611,5229,90,0.08372204254808424,0.022093461697219763
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_9,-0.8128960822418575,0.10240475338267326,-7.938069819905435,2.0535174112728318e-15,-1.013609398871897,-0.612182765611818,5229,90,0.08372204254808424,3.9383530351911096e-14
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2015-2016,-0.021429288700669943,0.04892993787905518,-0.43795863288522396,0.6614162709683182,-0.1173319669436181,0.07447338954227821,5229,90,0.08372204254808424,0.7089431886426885
ln_oxidative_to_MEHP,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2017-2018,0.06859561928476748,0.055919102789062904,1.2266938463501948,0.21993768145149617,-0.04100582218179581,0.1781970607513308,5229,90,0.08372204254808424,0.30283726907552166
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,Intercept,0.3329688623890585,0.06915657910534709,4.814709846793359,1.4741392297843744e-06,0.1974219673425782,0.46851575743553875,5261,90,0.11512301316652296,8.160956354579476e-06
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,ln_Sigma_DEHP_z,0.051086162881477055,0.02048989848822255,2.493236504360479,0.012658449909583345,0.010925961844560864,0.09124636391839325,5261,90,0.11512301316652296,0.02708202231651895
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDAGEYR,0.2301480055622772,0.016941962538124255,13.584495010207847,4.949337557382169e-42,0.19694175898755367,0.26335425213700075,5261,90,0.11512301316652296,3.796848954734607e-40
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,INDFMPIR,0.014578767820668255,0.018219190260433237,0.800187473332944,0.42360218643043607,-0.021130845089780886,0.050288380731117396,5261,90,0.11512301316652296,0.5123296714260004
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,DR1TKCAL,0.011122353803890822,0.014569118854665318,0.7634198001157239,0.4452130752214089,-0.0174331191512532,0.03967782675903485,5261,90,0.11512301316652296,0.5348532917089409
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,ln_URXUCR,0.07538038180202764,0.02074325472807127,3.6339707914793844,0.0002790924714773167,0.03472360253500795,0.11603716106904732,5261,90,0.11512301316652296,0.0009669203689246392
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,ever_smoker,0.044459848623750985,0.019310454998119064,2.3023718823860753,0.02131420923435107,0.006611356827437617,0.08230834042006435,5261,90,0.11512301316652296,0.04177273853593622
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,alcohol_ever,-0.07346643767288212,0.02451790498992701,-2.996440262863619,0.0027315175057161544,-0.12152153145313906,-0.025411343892625185,5261,90,0.11512301316652296,0.0069189853800451645
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,any_physical_activity,-0.0773927668120802,0.019563982137808036,-3.955880058922981,7.625341403249763e-05,-0.11573817180218395,-0.03904736182197645,5261,90,0.11512301316652296,0.0003055827114585913
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIAGENDR_2,-0.10815498237050006,0.03370784277980055,-3.2085999414745108,0.0013338294317017533,-0.17422235421890914,-0.04208761052209098,5261,90,0.11512301316652296,0.0036358700752479266
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_2,-0.27041021568401974,0.06343593459873034,-4.262729277885218,2.019451210224046e-05,-0.39474464749753124,-0.14607578387050826,5261,90,0.11512301316652296,8.888895900740267e-05
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_3,-0.4365073352699781,0.04892060249577278,-8.922771041253972,4.547642454076652e-19,-0.5323917161616927,-0.34062295437826345,5261,90,0.11512301316652296,1.1628971418281726e-17
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_4,-0.27971611728798074,0.05567769819604437,-5.023844849028856,5.06471575083903e-07,-0.3888444057522277,-0.17058782882373377,5261,90,0.11512301316652296,2.9562525632614773e-06
ln_Sigma_DEHP,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_6,-0.5573461855014759,0.050708991759947884,-10.991072118726121,4.218845776036412e-28,-0.6567358093509738,-0.457956561651978,5261,90,0.11512301316652296,2.0595638015741396e-26
