GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions
ADAM19,8728,1,1,1,increases^expression
ADAM22,53616,1,1,1,decreases^expression
ADAM23,8745,1,1,1,decreases^expression
ADAMTS14,140766,1,1,1,decreases^expression
ADAMTS4,9507,1,1,1,decreases^expression
ADARB1,104,1,1,1,decreases^expression
ADCYAP1R1,117,1,1,1,decreases^expression
ADD3,120,1,1,1,decreases^expression
ADGRG1,9289,1,1,1,increases^expression
ADGRG6,57211,1,1,1,increases^expression
ADGRL4,64123,1,1,1,increases^expression
ADIPOR2,79602,1,1,1,decreases^expression
ADM2,79924,1,1,1,increases^expression
ADPRHL2,419626,1,1,1,decreases^expression
ADRA2B,151,1,1,1,decreases^expression
ADRB3,155,1,1,1,decreases^expression
ADSS1,122622,1,1,1,decreases^expression
AEBP1,165,1,1,1,decreases^expression
AFAP1,60312,1,1,1,increases^expression
AFAP1L1,134265,1,1,1,increases^expression
AFF2,2334,1,1,1,decreases^expression
AFP,174,1,1,1,decreases^expression
AGA,175,1,1,1,decreases^expression
AGMO,392636,1,1,1,decreases^expression
AGPAT4,56895,1,1,1,decreases^expression
AGT,183,1,1,1,decreases^expression
AHI1,54806,1,1,1,decreases^expression
AHNAK2,113146,1,1,1,increases^expression
AHSG,197,1,1,1,affects^cotreatment|decreases^expression
AIFM2,84883,1,1,1,increases^expression
AIM1L,419544,1,1,1,increases^expression
AK4,205,1,1,1,increases^expression
AKAP5,9495,1,1,1,increases^expression
AKAP6,9472,1,1,1,decreases^expression
AKR1B10,57016,1,1,1,increases^expression
AKR1E2,83592,1,1,1,increases^expression
AKT1S1,84335,1,1,1,decreases^expression
ALDH1A3,220,1,1,1,increases^expression
ALDOA,226,1,1,1,increases^expression
ALKBH5,54890,1,1,1,increases^expression
ALOX5AP,241,1,1,1,increases^expression
ALPK2,115701,1,1,1,increases^expression
ALPL,249,1,1,1,increases^expression
ALPP,250,1,1,1,decreases^expression
AMER2,219287,1,1,1,increases^expression
AMH,268,1,1,1,decreases^expression
AMHR2,269,1,1,1,decreases^expression
AMIGO2,347902,1,1,1,increases^expression
AMOT,154796,1,1,1,increases^expression
AMOTL1,154810,1,1,1,increases^expression
ANG,283,1,1,1,decreases^expression
ANGPT2,285,1,1,1,decreases^expression
ANGPT4,51378,1,1,1,decreases^expression
ANGPTL1,9068,1,1,1,decreases^expression
ANK2,287,1,1,1,increases^expression
ANKH,56172,1,1,1,decreases^expression
ANKRD10,55608,1,1,1,affects^expression
ANKRD13C-DT,11147,1,1,1,decreases^expression
ANKRD36,375248,1,1,1,decreases^expression
ANKRD37,353322,1,1,1,decreases^expression
ANKS1A,23294,1,1,1,increases^expression
ANO4,121601,1,1,1,increases^expression
ANP32D,23519,1,1,1,decreases^expression
ANTXR2,118429,1,1,1,increases^expression
ANXA1,301,1,1,1,increases^expression
ANXA2,302,1,1,1,increases^expression
ANXA3,306,1,1,1,increases^expression
ANXA5,308,1,1,1,increases^expression
ANXA8L1,728113,1,1,1,decreases^expression
ANXA9,8416,1,1,1,decreases^expression
AP1G2,8906,1,1,1,affects^expression
AP1M1,8907,1,1,1,decreases^expression
AP1M2,10053,1,1,1,increases^expression
APBA2,321,1,1,1,decreases^expression
APBB2,323,1,1,1,decreases^expression
APCDD1L,164284,1,1,1,decreases^expression
APEX1,328,1,1,1,increases^expression
APLP1,333,1,1,1,decreases^expression
APOL1,8542,1,1,1,decreases^expression
AQP4,361,1,1,1,decreases^expression
AQP7,364,1,1,1,increases^expression
ARAP2,116984,1,1,1,increases^expression
ARC,23237,1,1,1,decreases^expression
ARGLU1,55082,1,1,1,affects^expression
ARHGAP27,201176,1,1,1,increases^expression
ARHGAP28,79822,1,1,1,decreases^expression
ARHGAP29,9411,1,1,1,increases^expression
ARHGAP31,57514,1,1,1,increases^expression
ARHGAP42,143872,1,1,1,increases^expression
ARHGAP45,23526,1,1,1,decreases^expression
ARHGAP6,395,1,1,1,decreases^expression
ARHGAP8,23779,1,1,1,decreases^expression
ARHGDIA,396,1,1,1,increases^expression
ARHGDIB,397,1,1,1,increases^expression
ARHGEF25,115557,1,1,1,decreases^expression
ARHGEF4,50649,1,1,1,decreases^expression
ARHGEF5,7984,1,1,1,increases^expression
ARL1,400,1,1,1,decreases^expression
ARL3,403,1,1,1,decreases^expression
ARL8B,55207,1,1,1,decreases^expression
ARMC12,221481,1,1,1,decreases^expression
ARPC1B,10095,1,1,1,increases^expression
ARRDC3,57561,1,1,1,increases^expression
ARSA,410,1,1,1,decreases^expression
ARSD,414,1,1,1,increases^expression
ARSG,22901,1,1,1,increases^expression
ARX,170302,1,1,1,decreases^expression
ASGR1,432,1,1,1,decreases^expression
ASIC1,41,1,1,1,decreases^expression
ASIP,434,1,1,1,decreases^expression
ASNS,440,1,1,1,increases^expression
ASPA,443,1,1,1,increases^expression
ATCAY,85300,1,1,1,decreases^expression
ATG16L2,89849,1,1,1,decreases^expression
ATOH8,84913,1,1,1,decreases^expression
ATOSB,80256,1,1,1,increases^expression
ATP12A,479,1,1,1,increases^expression
ATP1A2,477,1,1,1,decreases^expression
ATP1A4,480,1,1,1,increases^expression
ATP1B2,482,1,1,1,decreases^expression
ATP2A1,487,1,1,1,decreases^expression
ATP5MF-PTCD1,100526740,1,1,1,affects^cotreatment|affects^expression
ATP6V1B1,525,1,1,1,decreases^expression
ATP6V1E1,529,1,1,1,decreases^expression
ATP8,4509,1,1,1,decreases^expression
ATP8B3,148229,1,1,1,decreases^expression
ATXN1,6310,1,1,1,increases^expression
ATXN3,4287,1,1,1,decreases^expression
ATXN3L,92552,1,1,1,increases^expression
AUP1,550,1,1,1,decreases^expression
AURKA,6790,1,1,1,increases^expression
AVPR1A,552,1,1,1,increases^expression
B3GALNT1,8706,1,1,1,decreases^expression
B3GALT2,8707,1,1,1,decreases^expression
B3GAT1,27087,1,1,1,decreases^expression
BACE1-AS,100379571,1,1,1,affects^expression
BACH2,60468,1,1,1,increases^expression
BAG3,9531,1,1,1,increases^expression
BAHCC1,57597,1,1,1,decreases^expression
BAIAP2L2,80115,1,1,1,decreases^expression
BAMBI,25805,1,1,1,increases^expression
BARD1,580,1,1,1,decreases^expression
BBC3,27113,1,1,1,increases^expression
BCHE,590,1,1,1,decreases^expression
BCL11A,53335,1,1,1,increases^expression
BCL2L2-PABPN1,100529063,1,1,1,decreases^expression
BCL6B,255877,1,1,1,decreases^expression
BCO1,53630,1,1,1,decreases^expression
BDP1,55814,1,1,1,increases^expression
BEND3,57673,1,1,1,increases^expression
BEND4,389206,1,1,1,decreases^expression
BHLHE40,8553,1,1,1,increases^expression
BHMT,635,1,1,1,decreases^expression
BHMT2,23743,1,1,1,decreases^expression
BICC1,80114,1,1,1,decreases^expression
BMAL1,406,1,1,1,increases^expression
BMERB1,89927,1,1,1,decreases^expression
BMF,90427,1,1,1,decreases^expression
BMP1,649,1,1,1,increases^expression
BMP5,653,1,1,1,decreases^expression
BMPER,168667,1,1,1,increases^expression
BNC1,646,1,1,1,increases^expression
BOLA2B,654483,1,1,1,decreases^expression
BRAT1,221927,1,1,1,decreases^expression
BRINP2,57795,1,1,1,decreases^expression
BRSK2,9024,1,1,1,increases^expression
BST1,683,1,1,1,increases^expression
BST2,684,1,1,1,decreases^expression
BTBD8,284697,1,1,1,decreases^expression
BTG1,694,1,1,1,decreases^expression
BTN2A2,10385,1,1,1,decreases^expression
BTN3A1,11119,1,1,1,decreases^expression
BTN3A2,11118,1,1,1,decreases^expression
C12ORF75,387882,1,1,1,increases^expression
C16ORF78,123970,1,1,1,decreases^expression
C19ORF33,64073,1,1,1,increases^expression
C1ORF198,84886,1,1,1,decreases^expression
C1ORF210,149466,1,1,1,increases^expression
C1QA,712,1,1,1,decreases^expression
C1QTNF7,114905,1,1,1,decreases^expression
C1R,715,1,1,1,decreases^expression
C1S,716,1,1,1,increases^expression
C20ORF203,284805,1,1,1,decreases^expression
C20ORF96,140680,1,1,1,decreases^expression
C22ORF39,128977,1,1,1,decreases^expression
C3ORF18,51161,1,1,1,decreases^expression
C3ORF52,79669,1,1,1,increases^expression
C3ORF62,375341,1,1,1,decreases^expression
C4BPA,722,1,1,1,affects^cotreatment|decreases^expression
C4B_2,100293534,1,1,1,affects^cotreatment|affects^expression
C5,727,1,1,1,increases^expression
C8ORF58,541565,1,1,1,increases^expression
C9ORF153,389766,1,1,1,decreases^expression
C9ORF84,101747858,1,1,1,decreases^expression
CA11,770,1,1,1,decreases^expression
CA12,771,1,1,1,increases^expression
CA4,762,1,1,1,decreases^expression
CA9,768,1,1,1,affects^cotreatment|decreases^expression
CABP4,57010,1,1,1,decreases^expression
CACHD1,57685,1,1,1,decreases^expression
CACNA1A,773,1,1,1,decreases^expression
CACNA1B,774,1,1,1,decreases^expression
CACNA2D3,55799,1,1,1,increases^expression
CACNA2D4,93589,1,1,1,decreases^expression
CACNG4,27092,1,1,1,increases^expression
CACNG5,27091,1,1,1,decreases^expression
CACNG6,59285,1,1,1,decreases^expression
CACNG7,59284,1,1,1,decreases^expression
CACYBP,27101,1,1,1,increases^expression
CAD,790,1,1,1,increases^expression
CADM1,23705,1,1,1,decreases^expression
CADM3,57863,1,1,1,affects^cotreatment|decreases^expression
CADPS,8618,1,1,1,decreases^expression
CALB2,794,1,1,1,increases^expression
CALN1,83698,1,1,1,decreases^expression
CAMK1D,57118,1,1,1,decreases^expression
CAMK2B,816,1,1,1,increases^expression
CAMKK1,84254,1,1,1,decreases^expression
CAMKMT,79823,1,1,1,increases^expression
CAMKV,79012,1,1,1,decreases^expression
CANX,821,1,1,1,increases^expression
CAPN1,823,1,1,1,increases^expression
CAPN14,440854,1,1,1,decreases^expression
CAPN2,824,1,1,1,increases^expression
CAPS2,84698,1,1,1,decreases^expression
CASKIN1,57524,1,1,1,decreases^expression
CASP10,843,1,1,1,decreases^expression
CASP14,23581,1,1,1,affects^cotreatment|decreases^expression
CASZ1,54897,1,1,1,decreases^expression
CATSPERD,257062,1,1,1,decreases^expression
CAV1,857,1,1,1,increases^expression
CAV2,858,1,1,1,increases^expression
CAV3,859,1,1,1,increases^expression
CBLN1,869,1,1,1,decreases^expression
CBR3,874,1,1,1,increases^expression
CBX2,84733,1,1,1,increases^expression
CCDC102B,79839,1,1,1,decreases^expression
CCDC126,90693,1,1,1,decreases^expression
CCDC136,64753,1,1,1,decreases^expression
CCDC138,165055,1,1,1,decreases^expression
CCDC140,151278,1,1,1,decreases^expression
CCDC146,57639,1,1,1,decreases^expression
CCDC148,130940,1,1,1,decreases^expression
CCDC166,100130274,1,1,1,increases^expression
CCDC171,203238,1,1,1,decreases^expression
CCDC180,100499483,1,1,1,decreases^expression
CCDC183,84960,1,1,1,decreases^expression
CCDC184,387856,1,1,1,decreases^expression
CCDC40,55036,1,1,1,decreases^expression
CCDC69,26112,1,1,1,increases^expression
CCL20,6364,1,1,1,affects^cotreatment|decreases^expression
CCM2L,140706,1,1,1,decreases^expression
CCN2,1490,1,1,1,decreases^expression
CCN4,8840,1,1,1,increases^expression
CCN5,8839,1,1,1,decreases^expression
CCNA2,890,1,1,1,decreases^expression
CCND3,896,1,1,1,increases^expression
CCNE2,9134,1,1,1,increases^expression
CCNG2,901,1,1,1,increases^expression
CCNH,902,1,1,1,decreases^expression
CCNL1,57018,1,1,1,affects^expression
CCNY,219771,1,1,1,decreases^expression
CCR1,1230,1,1,1,increases^expression
CCR7,1236,1,1,1,affects^cotreatment|increases^expression
CD109,135228,1,1,1,increases^expression
CD163,9332,1,1,1,affects^cotreatment|decreases^expression
CD19,930,1,1,2,decreases^expression
CD200,4345,1,1,1,decreases^expression
CD22,933,1,1,1,decreases^expression
CD248,57124,1,1,1,decreases^expression
CD28,940,1,1,1,decreases^expression
CD300LG,146894,1,1,1,decreases^expression
CD36,948,1,1,1,increases^expression
CD37,951,1,1,1,decreases^expression
CD38,952,1,1,1,decreases^expression
CD47,961,1,1,1,decreases^expression
CD68,968,1,1,1,decreases^expression
CD99,4267,1,1,1,increases^expression
CDC20B,166979,1,1,1,decreases^expression
CDC26,246184,1,1,1,increases^expression
CDC42,998,1,1,1,increases^expression
CDC73,79577,1,1,1,decreases^expression
CDCP1,64866,1,1,1,increases^expression
CDH10,1008,1,1,1,increases^expression
CDH11,1009,1,1,1,decreases^expression
CDH13,1012,1,1,1,increases^expression
CDH18,1016,1,1,1,decreases^expression
CDH20,28316,1,1,1,decreases^expression
CDH3,1001,1,1,1,increases^expression
CDH4,1002,1,1,1,increases^expression
CDH7,1005,1,1,1,decreases^expression
CDHR1,92211,1,1,1,decreases^expression
CDK1,983,1,1,1,decreases^expression
CDK10,8558,1,1,1,decreases^expression
CDK6,1021,1,1,1,increases^expression
CDKN1C,1028,1,1,1,increases^expression
CDKN2B,1030,1,1,1,increases^expression
CDNF,441549,1,1,1,decreases^expression
CDO1,1036,1,1,1,decreases^expression
CDON,50937,1,1,1,decreases^expression
CDRT4,284040,1,1,1,affects^cotreatment|affects^expression
CEACAM1,634,1,1,1,increases^expression
CEACAM3,1084,1,1,1,increases^expression
CEBPG,1054,1,1,1,decreases^expression
CECR2,27443,1,1,1,increases^expression
CELSR2,1952,1,1,1,decreases^activity|decreases^reaction|increases^phosphorylation
CEMIP,57214,1,1,1,decreases^expression
CEMP1,752014,1,1,1,affects^expression
CENPE,1062,1,1,1,decreases^expression
CENPF,1063,1,1,1,increases^expression
CENPT,80152,1,1,1,decreases^expression
CENPX,201254,1,1,1,decreases^expression
CEP170B,283638,1,1,1,increases^expression
CEP55,55165,1,1,1,increases^expression
CER1,9350,1,1,1,increases^expression
CES1,1066,1,1,1,increases^hydrolysis
CES2,8824,1,1,1,increases^hydrolysis
CES4A,283848,1,1,1,decreases^expression
CFAP100,348807,1,1,1,decreases^expression
CFAP221,200373,1,1,1,decreases^expression
CFAP299,255119,1,1,1,decreases^expression
CFAP43,80217,1,1,1,decreases^expression
CFAP44,55779,1,1,1,decreases^expression
CFAP68,64776,1,1,1,decreases^expression
CFAP74,85452,1,1,1,increases^expression
CFAP91,89876,1,1,1,decreases^expression
CFI,3426,1,1,1,decreases^expression
CGB3,1082,1,1,1,decreases^reaction|increases^abundance
CHAC1,79094,1,1,1,increases^expression
CHAF1B,8208,1,1,1,increases^expression
CHCHD6,84303,1,1,1,decreases^expression
CHEK1,1111,1,1,1,decreases^reaction|increases^expression
CHL1,10752,1,1,1,increases^expression
CHMP4C,92421,1,1,1,increases^expression
CHP2,63928,1,1,1,decreases^expression
CHRDL1,91851,1,1,1,decreases^expression
CHRNB4,1143,1,1,1,decreases^expression
CHST11,50515,1,1,1,increases^expression
CHST15,51363,1,1,1,decreases^expression
CHST2,9435,1,1,1,increases^expression
CHST3,9469,1,1,1,increases^expression
CHTOP,26097,1,1,1,decreases^expression
CIB1,10519,1,1,1,increases^expression
CIDEC,63924,1,1,1,increases^expression
CIMAP3,128344,1,1,1,increases^expression
CIMIP2B,730112,1,1,1,decreases^expression
CITED1,4435,1,1,1,decreases^expression
CKB,1152,1,1,1,increases^expression
CLCF1,23529,1,1,1,increases^expression
CLDN11,5010,1,1,1,increases^expression
CLDN7,1366,1,1,1,increases^expression
CLEC18B,497190,1,1,1,decreases^expression
CLEC2D,29121,1,1,1,decreases^expression
CLEC3B,7123,1,1,1,decreases^expression
CLEC4A,50856,1,1,1,decreases^expression
CLEC5A,23601,1,1,1,decreases^expression
CLGN,1047,1,1,1,decreases^expression
CLIP3,25999,1,1,1,decreases^expression
CLK1,1195,1,1,1,affects^expression
CLMN,79789,1,1,1,increases^expression
CLTB,1212,1,1,1,decreases^expression
CLUH,23277,1,1,1,increases^expression
CLUL1,27098,1,1,1,decreases^expression
CLVS1,157807,1,1,1,decreases^expression
CLXN,79645,1,1,1,decreases^expression
CLYBL,171425,1,1,1,decreases^expression
CMAS,55907,1,1,1,decreases^expression
CMTM5,116173,1,1,1,decreases^expression
CMTM7,112616,1,1,1,increases^expression
CNBP,7555,1,1,1,increases^expression
CNMD,11061,1,1,1,decreases^expression
CNN1,1264,1,1,1,increases^expression
CNN2,1265,1,1,1,decreases^expression
CNRIP1,25927,1,1,1,decreases^expression
CNTFR,1271,1,1,1,decreases^expression
CNTN2,6900,1,1,1,decreases^expression
CNTN5,53942,1,1,1,decreases^expression
CNTNAP1,8506,1,1,1,decreases^expression
CNTNAP3,79937,1,1,1,decreases^expression
CNTNAP5,129684,1,1,1,decreases^expression
COL17A1,1308,1,1,1,increases^expression
COL1A1,1277,1,1,1,increases^expression
COL22A1,169044,1,1,1,decreases^expression
COL23A1,91522,1,1,1,decreases^expression
COL3A1,1281,1,1,1,decreases^expression
COL4A2,1284,1,1,1,increases^expression
COL4A6,1288,1,1,1,increases^expression
COL7A1,1294,1,1,1,decreases^expression
COL8A1,1295,1,1,1,decreases^expression
COL9A2,1298,1,1,1,decreases^expression
COLEC12,81035,1,1,1,decreases^expression
COMMD3-BMI1,100532731,1,1,1,affects^expression
COMMD4,54939,1,1,1,decreases^expression
COMMD7,149951,1,1,1,decreases^expression
COMP,1311,1,1,1,decreases^expression
COMT,1312,1,1,1,increases^expression
COPS4,51138,1,1,1,decreases^expression
COPS5,10987,1,1,1,increases^expression
CORO2A,7464,1,1,1,increases^expression
CORO7-PAM16,100529144,1,1,1,decreases^expression
COX1,4512,1,1,1,decreases^expression
COX2,4513,1,1,1,decreases^expression
COX3,4514,1,1,1,decreases^expression
COXFA4L3,84419,1,1,1,increases^expression
CPA1,1357,1,1,1,decreases^expression
CPA4,51200,1,1,1,decreases^expression
CPAMD8,27151,1,1,1,decreases^expression
CPB2,1361,1,1,1,increases^expression
CPEB2,132864,1,1,1,increases^expression
CPED1,79974,1,1,1,decreases^expression
CPQ,10404,1,1,1,decreases^expression
CPS1,1373,1,1,1,affects^cotreatment|decreases^expression
CPVL,54504,1,1,1,increases^expression
CPXM2,119587,1,1,1,increases^expression
CRABP1,1381,1,1,1,increases^expression
CRABP2,1382,1,1,1,decreases^expression
CRB2,286204,1,1,1,decreases^expression
CRBN,51185,1,1,1,decreases^expression
CREB3,10488,1,1,1,increases^expression
CREB3L1,90993,1,1,1,increases^expression
CREB3L2,64764,1,1,1,decreases^expression
CREBBP,1387,1,1,1,decreases^expression
CREG2,200407,1,1,1,increases^expression
CRELD1,78987,1,1,1,decreases^expression
CRHBP,1393,1,1,1,decreases^expression
CRIM1,51232,1,1,1,increases^expression
CRIP3,401262,1,1,1,decreases^expression
CRIPTO,6997,1,1,1,decreases^expression
CRTAC1,55118,1,1,1,decreases^expression
CRYAA,1409,1,1,1,decreases^expression
CRYBB3,1417,1,1,1,increases^expression
CRYBG1,202,1,1,1,increases^expression
CRYBG2,55057,1,1,1,decreases^expression
CSAD,51380,1,1,1,increases^expression
CSDC2,27254,1,1,1,decreases^expression
CSF2RB,1439,1,1,1,increases^expression
CSGALNACT1,55790,1,1,1,increases^expression
CSMD2,114784,1,1,1,decreases^expression
CSNK1A1,1452,1,1,1,decreases^activity|decreases^reaction|increases^phosphorylation
CST1,1469,1,1,1,increases^expression
CST2,1470,1,1,1,increases^expression
CST5,1473,1,1,1,increases^expression
CST6,1474,1,1,1,increases^expression
CTNNA2,1496,1,1,1,decreases^expression
CTRB1,1504,1,1,1,decreases^expression
CTRB2,440387,1,1,1,decreases^expression
CTSF,8722,1,1,1,decreases^expression
CTSL,1514,1,1,1,increases^expression
CTSV,1515,1,1,1,increases^expression
CUX2,23316,1,1,1,decreases^expression
CXCL1,2919,1,1,1,increases^expression
CXCL10,3627,1,1,1,affects^cotreatment|increases^expression
CXCL13,10563,1,1,1,affects^cotreatment|decreases^expression
CXCL16,58191,1,1,1,increases^expression
CXCR4,7852,1,1,1,affects^cotreatment|affects^reaction|increases^expression
CYB5A,1528,1,1,1,decreases^expression
CYB5R1,51706,1,1,1,increases^expression
CYB5RL,606495,1,1,1,decreases^expression
CYBA,1535,1,1,1,affects^reaction|decreases^reaction|increases^expression
CYCS,54205,1,1,1,increases^expression
CYP11B1,1584,1,1,1,decreases^expression
CYP26A1,1592,1,1,1,decreases^expression
CYP2A6,1548,1,1,1,affects^cotreatment|increases^expression
CYP2B10,13088,1,1,1,affects^response to substance|increases^expression
CYP2E1,1571,1,1,1,decreases^expression
CYP2F1,1572,1,1,1,decreases^expression
CYP2J2,1573,1,1,1,decreases^expression
CYP3A43,64816,1,1,1,decreases^expression
CYP3A5,1577,1,1,1,decreases^expression
CYP46A1,10858,1,1,1,decreases^expression
CYP4A10,13117,1,1,1,increases^expression
CYP4V2,285440,1,1,1,decreases^expression
CYP4Z1,199974,1,1,1,decreases^expression
CYRIA,81553,1,1,1,increases^expression
CYSLTR2,57105,1,1,1,increases^expression
DACH1,1602,1,1,1,decreases^expression
DACT1,51339,1,1,1,increases^expression
DAGLB,221955,1,1,1,increases^expression
DAPK1,1612,1,1,1,increases^expression
DAPL1,92196,1,1,1,decreases^expression
DAPP1,27071,1,1,1,increases^expression
DAZ2,57055,1,1,1,decreases^expression
DCHS2,54798,1,1,1,decreases^expression
DCLK1,9201,1,1,1,increases^expression
DCT,1638,1,1,1,decreases^expression
DDHD1,80821,1,1,1,decreases^expression
DDIT4L,115265,1,1,1,increases^expression
DDTL,100037417,1,1,1,decreases^expression
DDX25,29118,1,1,1,decreases^expression
DDX39A,10212,1,1,1,increases^expression
DEAF1,10522,1,1,1,increases^expression
DEF8,54849,1,1,1,increases^expression
DEFA3,1668,1,1,1,increases^expression
DENND1A,57706,1,1,1,decreases^expression
DENND4C,55667,1,1,1,decreases^expression
DENND6B,414918,1,1,1,decreases^expression
DGAT1,8694,1,1,1,increases^expression
DGAT2,84649,1,1,1,decreases^expression
DGKA,1606,1,1,1,increases^expression
DGKI,9162,1,1,1,increases^expression
DHCR24,1718,1,1,1,decreases^expression
DHRS3,9249,1,1,1,decreases^expression
DHX40,79665,1,1,1,increases^expression
DIABLO,56616,1,1,1,increases^expression
DIAPH1,1729,1,1,1,increases^expression
DICER1,23405,1,1,1,affects^cotreatment|increases^expression
DKK1,22943,1,1,1,affects^cotreatment|decreases^expression
DKK2,27123,1,1,1,increases^expression
DKK3,27122,1,1,1,increases^expression
DLC1,10395,1,1,1,increases^expression
DLEC1,9940,1,1,1,decreases^expression
DLGAP1,9229,1,1,1,decreases^expression
DLL1,28514,1,1,1,decreases^expression
DM1-AS,109729182,1,1,1,decreases^expression
DMD,1756,1,1,1,decreases^expression
DMRT3,58524,1,1,1,decreases^expression
DNAAF19,388389,1,1,1,decreases^expression
DNAH1,25981,1,1,1,decreases^expression
DNAH11,8701,1,1,1,decreases^expression
DNAH12,201625,1,1,1,decreases^expression
DNAH6,1768,1,1,1,decreases^expression
DNAH7,56171,1,1,1,decreases^expression
DNAJB1,3337,1,1,1,increases^expression
DNER,92737,1,1,1,increases^expression
DNHD1,144132,1,1,1,decreases^expression
DNM1,1759,1,1,1,decreases^expression
DNM1L,10059,1,1,1,affects^cotreatment|affects^phosphorylation
DNMT3A,1788,1,1,1,increases^expression
DOC2A,8448,1,1,1,decreases^expression
DOC2B,8447,1,1,1,decreases^expression
DOCK10,55619,1,1,1,decreases^expression
DOCK4,9732,1,1,1,increases^expression
DOCK5,80005,1,1,1,increases^expression
DOCK9,23348,1,1,1,increases^expression
DOCK9-DT,100861541,1,1,1,increases^expression
DOK3,79930,1,1,1,increases^expression
DOK4,55715,1,1,1,increases^expression
DOK6,220164,1,1,1,decreases^expression
DOPEY2,421842,1,1,1,increases^expression
DPM3,54344,1,1,1,decreases^expression
DPPA5,340168,1,1,1,decreases^expression
DPT,1805,1,1,1,affects^cotreatment|decreases^expression
DPY19L2,283417,1,1,1,decreases^expression
DPYSL5,56896,1,1,1,decreases^expression
DRAM1,55332,1,1,1,increases^expression
DRC1,92749,1,1,1,decreases^expression
DRD5,1816,1,1,1,decreases^expression
DROSHA,29102,1,1,1,affects^cotreatment|increases^expression
DSCAML1,57453,1,1,1,decreases^expression
DSG1,1828,1,1,1,increases^expression
DTWD1,56986,1,1,1,decreases^expression
DTX1,1840,1,1,1,decreases^expression
DTX3,196403,1,1,1,decreases^expression
DTX3L,151636,1,1,1,increases^expression
DTX4,23220,1,1,1,increases^expression
DUOX2,50506,1,1,1,affects^reaction|decreases^reaction|increases^expression
DUSP1,1843,1,1,1,affects^cotreatment|increases^expression|increases^reaction
DUSP6,1848,1,1,2,increases^expression
DYNLT2,6991,1,1,1,increases^expression
DYNLT3,6990,1,1,1,increases^expression
DYRK3,8444,1,1,1,decreases^expression
DYSF,8291,1,1,1,increases^expression
EBF1,1879,1,1,1,decreases^expression
EBF3,253738,1,1,1,decreases^expression
EBI3,10148,1,1,1,increases^expression
ECE2,9718,1,1,1,decreases^expression
ECEL1,9427,1,1,1,decreases^expression
ECH1,1891,1,1,1,increases^expression
ECM1,1893,1,1,1,increases^expression
ECM2,1842,1,1,1,decreases^expression
ECT2L,345930,1,1,1,decreases^expression
EDAR,10913,1,1,1,decreases^expression
EDEM1,9695,1,1,1,increases^expression
EDIL3,10085,1,1,1,increases^expression
EDIL3-DT,105379057,1,1,1,decreases^expression
EDNRA,1909,1,1,1,decreases^expression
EDNRB,1910,1,1,1,increases^expression
EFCC1,79825,1,1,1,decreases^expression
EFHB,151651,1,1,1,decreases^expression
EFHC1,114327,1,1,1,decreases^expression
EFNA1,1942,1,1,1,increases^expression
EFNA5,1946,1,1,1,decreases^expression
EFR3B,22979,1,1,1,decreases^expression
EGFR,1956,1,1,1,increases^expression
EGFR-AS1,100507500,1,1,1,increases^expression
EGR1,1958,1,1,1,decreases^expression
EGR2,1959,1,1,1,decreases^expression
EGR3,1960,1,1,1,decreases^expression
EGR4,1961,1,1,1,decreases^expression
EHD1,10938,1,1,1,increases^expression
EHD2,30846,1,1,1,increases^expression
EHD4,30844,1,1,1,increases^expression
EHF,26298,1,1,1,increases^expression
EHHADH,1962,1,1,1,affects^response to substance|increases^expression
EID3,493861,1,1,1,decreases^expression
EIF3C,8663,1,1,1,decreases^expression
EIF4EBP3,8637,1,1,1,increases^phosphorylation
EIF5,1983,1,1,1,decreases^expression
EIF5A,1984,1,1,1,increases^expression
ELAVL3,1995,1,1,1,decreases^expression
ELAVL4,1996,1,1,1,decreases^expression
ELF1,1997,1,1,1,increases^expression
ELF4,2000,1,1,1,increases^expression
ELMO1,9844,1,1,1,increases^expression
ELOVL1,64834,1,1,1,increases^expression
ELOVL5,60481,1,1,1,increases^expression
EMILIN3,90187,1,1,1,decreases^expression
EML6,400954,1,1,1,decreases^expression
EMP2,2013,1,1,1,increases^expression
EMP3,2014,1,1,1,increases^expression
EMX2,2018,1,1,1,decreases^expression
ENG,2022,1,1,1,increases^expression
ENO3,2027,1,1,1,decreases^expression
ENPEP,2028,1,1,1,decreases^expression
ENPP2,5168,1,1,1,decreases^expression
ENTPD4,9583,1,1,1,decreases^expression
ENTREP1,9413,1,1,1,increases^expression
EOGT,285203,1,1,1,increases^expression
EP300,2033,1,1,1,affects^binding|increases^reaction
EPAS1,2034,1,1,1,increases^expression
EPB41L3,23136,1,1,1,decreases^expression
EPCAM,4072,1,1,1,increases^expression
EPDR1,54749,1,1,1,decreases^expression
EPHA7,2045,1,1,1,decreases^expression
EPHB2,2048,1,1,1,decreases^expression
EPHX2,2053,1,1,1,decreases^expression
EPN3,55040,1,1,1,increases^expression
EPO,2056,1,1,1,decreases^expression
EPS8,2059,1,1,1,decreases^expression
EPS8L1,54869,1,1,1,increases^methylation
EPSTI1,94240,1,1,1,increases^expression
EQTN,54586,1,1,1,decreases^expression
ERAP1,51752,1,1,1,increases^expression
ERBB3,2065,1,1,1,decreases^expression
ERICH5,203111,1,1,1,decreases^expression
ERP27,121506,1,1,1,increases^expression
ERP29,10961,1,1,1,decreases^expression
